"Bucket label","RT","m/z","Formula","121523_Blank_expanded_gradient_73_1_6075","121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6076","121523_UM1899B_JC1_0.25mgmL_expanded_gradient_82_1_6077","121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6078","121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6079","121523_UM1900B_Media_0.25mgmL_expanded_gradient_83_1_6080","121523_UM1901B_Coculture_0.25mgmL_expanded_gradient_84_1_6081","121523_Blank_expanded_gradient_73_1_6082","121523_UM1901B_Coculture_0.25mgmL_expanded_gradient_84_1_6083","121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6084","121523_UM1899B_JC1_0.25mgmL_expanded_gradient_82_1_6085","121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6086","121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6087","121523_UM1900B_Media_0.25mgmL_expanded_gradient_83_1_6088","121523_Blank_expanded_gradient_73_1_6089","121523_UM1899B_JC1_0.25mgmL_expanded_gradient_82_1_6090","121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6091","121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6092","121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6093","121523_UM1901B_Coculture_0.25mgmL_expanded_gradient_84_1_6094","121523_UM1900B_Media_0.25mgmL_expanded_gradient_83_1_6095"
"newJC1",,,,"Blank expanded gradient","Coculture 1 mg_mL expanded gradient","JC1 0.25 mg_mL expanded gradient","JC1 1 mg_mL expanded gradient","Media 1 mg_mL expanded gradient","Media 0.25 mg_mL expanded gradient","Coculture 0.25 mg_mL expanded gradient","Blank expanded gradient","Coculture 0.25 mg_mL expanded gradient","Coculture 1 mg_mL expanded gradient","JC1 0.25 mg_mL expanded gradient","JC1 1 mg_mL expanded gradient","Media 1 mg_mL expanded gradient","Media 0.25 mg_mL expanded gradient","Blank expanded gradient","JC1 0.25 mg_mL expanded gradient","Coculture 1 mg_mL expanded gradient","JC1 1 mg_mL expanded gradient","Media 1 mg_mL expanded gradient","Coculture 0.25 mg_mL expanded gradient","Media 0.25 mg_mL expanded gradient"
"560.18854 Da 45.28 s",0.754654,561.19581,"C28H32O12",0.0,1382.371826171875,0.0,0.0,0.0,0.0,601.0336303710938,0.0,653.4216918945312,1727.7694091796875,0.0,0.0,0.0,0.0,0.0,0.0,1644.2642822265625,0.0,0.0,514.9201049804688,0.0
"1402.53251 Da 46.52 s",0.775292,468.51811,"C91H83KN2O6S2",0.0,1506.9637451171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448.3519287109375,0.0,0.0,0.0,0.0,0.0,0.0,1585.979248046875,0.0,0.0,0.0,0.0
"976.43645 Da 47.98 s",0.799646,489.22550,"C39H44N32O",0.0,0.0,0.0,1692.526611328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1501.967529296875,0.0,0.0,0.0,0.0,0.0,1654.4949951171875,0.0,0.0,0.0
"889.40569 Da 47.99 s",0.799836,445.71012,"C39H47N21O5",0.0,0.0,0.0,1523.311279296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722.85546875,0.0,0.0,0.0,0.0,0.0,1305.285400390625,0.0,0.0,0.0
"711.23617 Da 48.02 s",0.800382,712.24344,"C19H58N3O12PS5",0.0,0.0,0.0,0.0,0.0,0.0,931.1659545898438,0.0,829.7070922851562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1508.0916748046875,0.0,0.0,907.14794921875,0.0
"642.33111 Da 48.32 s",0.805278,643.33839,"C32H50O13",0.0,1195.2626953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966.6639404296875,0.0,0.0,0.0,0.0,0.0,0.0,1871.26171875,0.0,0.0,0.0,0.0
"949.49459 Da 48.36 s",0.805937,475.75457,"C52H67N7O10",0.0,0.0,671.3389282226562,2202.932373046875,1536.224365234375,0.0,0.0,0.0,0.0,0.0,0.0,2666.052490234375,1566.7550048828125,0.0,0.0,688.0413208007812,0.0,2077.857666015625,1566.91552734375,0.0,0.0
"569.24239 Da 48.42 s",0.807016,570.24966,"C20H27N17O4",0.0,6587.853515625,671.6226196289062,1926.7564697265625,1801.0390625,454.71331787109375,2904.827392578125,0.0,2723.521240234375,7836.943359375,506.1553649902344,1745.430419921875,1966.58154296875,419.794189453125,0.0,700.2411499023438,6743.84423828125,1836.8466796875,1665.1943359375,2365.533935546875,472.1654052734375
"501.25341 Da 48.49 s",0.808223,502.26069,"C24H40NO8P",0.0,1742.0347900390625,0.0,0.0,0.0,0.0,807.2531127929688,0.0,727.895751953125,1929.2298583984375,0.0,0.0,0.0,0.0,0.0,0.0,1893.1539306640625,0.0,0.0,681.5531616210938,0.0
"516.27170 Da 48.60 s",0.809922,517.27897,"C29H40O8",0.0,0.0,0.0,1377.205810546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1468.1865234375,0.0,0.0,0.0,0.0,0.0,1505.7322998046875,0.0,0.0,0.0
"557.31544 Da 48.60 s",0.809922,558.32271,"C30H43N3O7",0.0,0.0,0.0,1227.9739990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1420.8148193359375,0.0,0.0,0.0,0.0,0.0,1588.0948486328125,0.0,0.0,0.0
"644.31251 Da 48.61 s",0.810166,645.31979,"C18H50N10O11P2",0.0,1279.9888916015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.847900390625,0.0,0.0,0.0,0.0,0.0,0.0,1490.599609375,0.0,0.0,0.0,0.0
"1037.56267 Da 48.71 s",0.811866,519.78861,"C49H75N13O12",0.0,0.0,0.0,1480.3499755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1615.19775390625,949.0711669921875,0.0,0.0,0.0,0.0,1670.8563232421875,0.0,0.0,0.0
"337.16269 Da 48.80 s",0.813305,338.16996,"C10H24N7O4P",0.0,1274.6661376953125,0.0,0.0,0.0,0.0,469.5062255859375,0.0,496.7206726074219,2192.737548828125,0.0,0.0,0.0,0.0,0.0,0.0,1500.978759765625,0.0,0.0,0.0,0.0
