"ms1_id","ms2_id","mz","RTINMINUTES","omus","annotations","50MeOH_10570","50MeOH_10571","50MeOH_10572","FullMix_10574","FullMix_10577","FullMix_10580"
"1000","mz749.51469rt2.8","749.513606","3.62266666666667","omu135","Azithromycin",0,0,0,226277.39,187860.42,166603.72
"1002","mz734.46721rt3.73","734.467206","3.72566666666667","omu136","Erythromycin",0,0,0,1285652.63,1244527.38,1222279.13
"1003","mz749.51469rt2.8","749.513686","3.73083333333333","omu135","Azithromycin",0,0,0,325578.88,357518.06,316568.66
"1006","mz42.03365rt3.8","42.033646","3.80216666666667","omu1","",0,0,0,270776.94,258514.84,251178.77
"1007","mz137.07102rt3.81","137.071016","3.80716666666667","omu137","3-Carbamoyl-1-methylpyridinium,1-Methylnicotinamide,Benzoyl hydrazine,4-Aminobenzamide",0,0,0,116058.97,118762.07,102857.34
"1009","mz466.31619rt3.84","466.316196","3.84316666666667","omu2","Glycohyocholic acid",0,0,0,2943366,2998098.25,2843043.5
"1010","mz414.30041rt3.92","414.300416","3.922","omu3","",0,0,0,1934671.75,1933658.25,1858876.25
"1013","mz749.51469rt2.8","749.513376","4.01466666666667","omu135","Azithromycin",0,0,0,550571.69,556710.44,536509.06
"1016","mz716.45723rt4.1","716.457226","4.09866666666667","omu138","",0,0,0,476053.56,566657.75,572733
"1019","mz371.25828rt4.19","371.258286","4.18583333333333","omu4","",0,0,0,20072.26,19650.86,21177.87
"1020","mz734.46694rt4.19","734.466936","4.19133333333333","omu136","Erythromycin,N-Desmethyl Clarithromycin",0,0,0,1580449.25,1630976.88,1615808.38
"1022","mz279.09353rt4.26","279.093506","4.25733333333333","omu5","Triphenylphosphine oxide,triphenylphosphineoxide,Sulfamethazine",0,0,0,24968.87,24121.65,23067.25
"1023","","738.437176","4.25316666666667","","",0,0,0,28335.6,31461.28,31350.23
"1024","mz42.03365rt3.8","42.033706","4.255","omu6","",0,0,0,295605.97,280097.88,268845.16
"1025","mz137.07083rt4.27","137.070826","4.26666666666667","omu137","3-Carbamoyl-1-methylpyridinium,4-Hydroxybenzoate,4-Hydroxybenzoic acid sodium salt,o-Hydroxybenzoic acid,1-Methylnicotinamide,4-Aminobenzamide",0,0,0,150737.59,163552.47,152928.72
"1028","mz373.27393rt4.32","373.27343","4.32266666666667","omu7","",0,0,0,1545093.25,1587891.13,1561004.25
"1029","mz426.32133rt4.32","426.321326","4.31716666666667","omu8","Cholic acid",0,0,0,566948.88,593985.56,565654.81
"1030","mz432.31096rt4.4","432.31026","4.40233333333333","omu9","",0,0,0,3159051.5,3480015.5,3241199.75
"1041","mz253.17965rt4.6","253.179646","4.59566666666667","omu10","",0,0,0,9493.06,11169.21,10920.95
"1044","mz375.26184rt4.67","375.2618326","4.67166666666667","omu139","",0,0,0,970824.63,860524.81,808888
"1045","mz387.19297rt4.72","387.192866","4.72216666666667","omu11","",26125.07,28947.73,28821.89,746605.38,788243.88,737723.38
"1046","","427.185506","4.7245","","",250.72,317.74,223.54,5626.8,6096.4,5764.25
"1047","","489.117926","4.72166666666667","","",0,0,0,5081.88,5404.54,4276.05
"1048","mz78.99891rt4.73","78.9989026","4.7265","omu147","",0,0,0,273309.5,247933.73,226763.78
"1050","mz288.25332rt4.87","288.253486","4.87083333333333","omu140","Lauryl diethanolamide",5735.87,4497.09,4735.21,91738.71,99769.63,96727.22
"1051","mz375.26205rt4.91","375.2620426","4.91366666666667","omu139","",0,0,0,1019641.38,1002273.06,1022936.69
"1052","mz399.19289rt4.96","399.192886","4.96016666666667","omu12","",0,0,0,4331.92,3960.08,4580.26
"1054","","417.203436","5.03316666666667","","",0,0,0,20441.69,17968.41,18745.12
"1055","mz138.98009rt5.04","138.980096","5.03666666666667","omu141","",0,0,0,96220.71,92163.64,88361.19
"1056","mz375.26156rt5.12","375.2615526","5.118","omu139","",0,0,0,399743.59,319825.03,333949.91
"1059","mz280.26324rt5.24","280.263246","5.23616666666667","omu142","",0,0,0,31633.3,33576.92,32225.82
"1060","mz325.16227rt5.45","325.162486","5.25516666666667","omu13","",0,0,0,5628.47,6152.61,5918.13
"1061","mz459.35575rt5.31","459.355448","5.3065","omu14","",0,0,0,6060.95,6146.53,5495.5
"1064","mz318.24046rt5.41","318.240498","5.41133333333333","omu15","Drofenine",0,0,0,18587.09,19755.67,18521.56
"1066","mz395.22045rt5.51","395.220446","5.50633333333333","omu16","",0,0,0,18966.64,17726.77,17838.09
"1067","mz716.45741rt5.52","716.457406","5.524","omu138","",0,0,0,867090.38,962929.5,960118.94
"1072","mz406.32908rt5.67","406.329278","5.666","omu17","",0,0,0,416666.72,364303.56,355948.72
"1088","mz59.06013rt6.05","59.060136","6.04933333333333","omu18","",0,0,0,216438.45,184181.3,177918.39
"1107","mz438.34231rt6.29","438.342306","6.29483333333333","omu143","",0,0,0,8072.45,8871.12,9390.91
"1108","mz770.46439rt6.29","770.464396","6.28883333333333","omu19","",0,0,0,194363.3,220695.42,233698.22
"1111","mz365.23227rt6.41","365.232266","6.41133333333333","omu20","",0,0,0,104566.88,98912.84,97682.88
"1112","mz477.2845rt6.41","477.28392","6.40866666666667","omu21","",0,0,0,33121.33,33625.8,32395.65
"1113","mz307.1903rt6.41","307.190676","6.406","omu22","",0,0,0,30538.18,27668.39,29053.76
"1116","","325.201126","6.41","","",0,0,0,4606.8,5423.85,4821.97
"1117","mz83.04883rt3.31","83.048956","6.41533333333333","omu149","",0,0,0,8354.56,7330.17,7130.94
"1119","mz748.48325rt6.41","748.483246","6.4075","omu135","Clarithromycin",0,0,0,437628.84,418028.56,459182.47
"1121","mz59.06013rt6.05","59.060166","6.44733333333333","omu23","",0,0,0,37346.11,54301.22,48361.42
"1123","mz526.43092rt6.46","526.430916","6.45533333333333","omu144","",0,0,0,109405.78,77642.06,100187.18
"1127","mz355.28178rt6.54","355.281658","6.5435","omu24","",0,0,0,289277.59,271627.97,260073.19
"1130","","415.282466","6.539","","",0,0,0,21691.16,19709.31,15110.92
"1133","mz526.43092rt6.46","526.431036","6.52083333333333","omu144","",0,0,0,231498.42,217565.34,222960.14
"1137","mz663.45344rt6.66","663.453356","6.6605","omu25","",0,0,0,258184.58,256334.02,245959.95
"1139","mz90.97652rt0.69","90.976576","6.668","omu26","",0,0,0,20960.02,21421.33,19078.02
"1144","","121.966386","6.71116666666667","","",0,0,0,22812.16,17587,16173.89
"1159","","265.865978","6.7295","","",0,0,0,6281.75,5546.62,5267.55
"1161","","230.88962","6.73383333333333","","",0,0,0,5096.59,4307.15,4258.81
"1162","","290.88648","6.73316666666667","","",0,0,0,6075.07,6285.43,4529.47
"1169","","288.892456","6.72833333333333","","",0,0,0,5913.96,5627.76,4778.45
"1173","","81.033076","6.73","","",0,0,0,4434.5,5112.33,4576.5
"1177","","58.5043826","6.7325","","",0,0,0,48138.33,54298.09,53491.01
"1179","","279.904766","6.73833333333333","","",0,0,0,8093.28,7242.3,6768.21
"1182","mz118.08647rt6.73","118.086476","6.72816666666667","omu27","Abromine,Betaine,METHYL4-AMINOBUTYRATE,NORVALINE,VALINE,L-Valine",0,0,0,161404.28,173899.61,184030
"1189","mz375.26188rt6.74","375.2618726","6.7365","omu139","",0,0,0,293747.41,222547.11,237770.59
"1195","","99.006316","6.72716666666667","","",0,0,0,14126.24,13771.38,13965.65
"1196","mz749.51484rt6.72","749.514836","6.72133333333333","omu135","Azithromycin",0,0,0,80878.42,81147.33,67423.34
"1197","","95.011736","6.745","","",0,0,0,4479.72,5094.73,3951.3
"1200","mz138.98009rt5.04","138.980066","6.72666666666667","omu141","",0,0,0,23320.44,20278.31,21753.91
"1202","","83.049356","6.73033333333333","","",0,0,0,4554.57,5241.25,6018.15
