"ms1_id","ms2_id","mz","RTINMINUTES","omus","annotations","50MeOH_10570","50MeOH_10571","50MeOH_10572","FullMix_10574","FullMix_10577","FullMix_10580"
"1","mz111.11648rt0.05","111.116476","0.0468333333333333","omu198","",4166.4,10104.69,7403.4,8752.06,12820.89,1558.26
"2","mz140.06818rt0.65","140.068236","0.0481666666666667","omu199","",3674.63,5520.2,3303.08,15006.73,1182.62,8596.09
"3","mz173.07892rt0.06","173.078916","0.0578333333333333","omu200","",1059.17,150.01,647.51,8780.84,2584.23,35997.61
"4","mz158.00309rt2.44","158.002876","0.0598333333333333","omu201","",11022.72,7634.81,10692.11,4627.74,12896.38,2925.34
"5","","57.069766","0.0611666666666667","","",10547.08,19923.64,15259.67,2398.49,11353.59,1914.96
"6","mz371.1014rt0.06","371.101396","0.0643333333333333","omu1","",6554.2,7052.34,8253.84,3690.82,3832.28,1894.4
"7","mz299.1103rt0.08","299.110296","0.0846666666666667","omu202","8phiC8SPC (STANDARD),8phiC8SPC,Desmethylranitidine",2275.31,8598.2,1518.82,14123.12,3129.5,54505.38
"9","mz69.06981rt0.09","69.069806","0.0868333333333333","omu2","",0,1029.27,6609.67,1878.74,6413.99,1127.37
"10","","89.059746","0.0878333333333333","","",5050.73,622.94,2842.06,2393.88,1726.13,895.82
"11","","139.963226","0.089","","",1582.89,1818.59,2442.57,1269.34,2273.72,4572.53
"13","","267.268616","0.0948333333333333","","",1734.87,1668.2,2146.71,1207.31,2104.16,74.68
"14","","307.299696","0.0948333333333333","","",1016.45,1198.43,1342.51,1085.26,1439.41,0
"15","","349.346376","0.095","","",449.92,644.62,843.43,344.03,977.56,0
"16","mz1221.99069rt2.84","1221.991086","0.095","omu203","",6595.94,5909.84,7358.91,4977.68,7539.67,0
"17","","335.330876","0.095","","",1439.07,1244.38,1627.76,920.44,1695.34,0
"18","","321.314966","0.095","","",1982.83,1785.73,2704.36,1275.11,2665.85,0
"19","","295.299586","0.095","","",3064.8,2672.26,3620.66,1595.39,3593.34,0
"20","","323.330856","0.095","","",943.9,1196.01,1333.95,805.04,1354.1,0
"21","","283.299726","0.0953333333333333","","",3510.58,2679.23,4130.1,1889.1,3949.65,10.48
"22","","71.085276","0.0953333333333333","","",4354.66,1752.07,7147.76,1017.59,7247.27,595.26
"23","","398.247426","0.0953333333333333","","",409.46,553.09,536.81,442.43,602.48,0
"24","","1024.958606","0.0953333333333333","","",2846.51,3129.34,3484.15,3524.28,2190.67,7.68
"25","","265.252606","0.0956666666666667","","",434.79,632.93,581.64,507.03,681.56,48.64
"26","","357.221386","0.0956666666666667","","",841.57,963.91,949.27,689.76,977,0
"27","","358.218246","0.0956666666666667","","",618.01,578.09,597.34,489.63,790.54,0
"28","","83.085166","0.0956666666666667","","",984.6,1016.37,707.66,395.05,1080.54,253.27
"29","","766.401896","0.0961666666666667","","",997.27,815.26,710.96,979.52,806.46,0
"30","","473.320476","0.0965","","",1050.01,1453.01,926.96,893.17,801.43,0
"31","","313.893306","0.0965","","",1707.46,422.64,551.21,313.91,0,4760.72
"32","","237.221686","0.0966666666666667","","",3320.56,4133.97,3657.93,2901.22,3510.58,870.99
"33","","369.257556","0.0971666666666667","","",959.31,950.69,1207.48,765.86,1076.86,0
"34","","341.226336","0.0978333333333333","","",991.05,1100.08,1144.35,776.34,1215.08,0
"35","mz209.18997rt0.1","209.189966","0.100833333333333","omu3","",2387,3368.95,2871.72,2469.57,2796.15,257.69
"36","","315.156566","0.101166666666667","","",3859.16,4255.7,4025.91,1549.79,2361.18,16.8
