"Compound","rt","mz","240927_50MeOH_pos_P2A1_1_9665","240927_50MeOH_pos_P2A1_1_9666","240927_50MeOH_pos_P2A1_1_9667","240927_0.1mgmL_GroupMix3_IsovalericAcid_HSST3_pos_P2E4_1_9668","240927_0.1mgmL_GroupMix1_HSST3_pos_P2E2_1_9669","240927_0.1mgmL_GroupMix4_HSST3_pos_P2E5_1_9670","240927_0.1mgmL_GroupMix6_HSST3_pos_P2E7_1_9671","240927_0.1mgmL_GroupMix5_ValericAcid_HSST3_pos_P2E6_1_9672","240927_0.1mgmL_GroupMix2_ValericAcid_HSST3_pos_P2E3_1_9673","240927_0.1mgmL_FullMix_HSST3_pos_P2F1_1_9674","240927_0.1mgmL_GroupMix8_IsovalericAcid_HSST3_pos_P2E9_1_9675","240927_0.1mgmL_GroupMix7_ValericAcid_HSST3_pos_P2E8_1_9676","240927_0.1mgmL_GroupMix3_IsovalericAcid_HSST3_pos_P2E4_1_9725","240927_0.1mgmL_FullMix_HSST3_pos_P2F1_1_9726","240927_0.1mgmL_GroupMix7_ValericAcid_HSST3_pos_P2E8_1_9727","240927_0.1mgmL_GroupMix6_HSST3_pos_P2E7_1_9728","240927_0.1mgmL_GroupMix2_ValericAcid_HSST3_pos_P2E3_1_9729","240927_0.1mgmL_GroupMix4_HSST3_pos_P2E5_1_9730","240927_0.1mgmL_GroupMix8_IsovalericAcid_HSST3_pos_P2E9_1_9731","240927_0.1mgmL_GroupMix5_ValericAcid_HSST3_pos_P2E6_1_9732","240927_0.1mgmL_GroupMix1_HSST3_pos_P2E2_1_9733","240927_0.1mgmL_GroupMix5_ValericAcid_HSST3_pos_P2E6_1_9782","240927_0.1mgmL_GroupMix3_IsovalericAcid_HSST3_pos_P2E4_1_9783","240927_0.1mgmL_GroupMix7_ValericAcid_HSST3_pos_P2E8_1_9784","240927_0.1mgmL_GroupMix2_ValericAcid_HSST3_pos_P2E3_1_9785","240927_0.1mgmL_GroupMix4_HSST3_pos_P2E5_1_9786","240927_0.1mgmL_GroupMix6_HSST3_pos_P2E7_1_9787","240927_0.1mgmL_FullMix_HSST3_pos_P2F1_1_9788","240927_0.1mgmL_GroupMix1_HSST3_pos_P2E2_1_9789","240927_0.1mgmL_GroupMix8_IsovalericAcid_HSST3_pos_P2E9_1_9790"
"251.96462 Da 18.25 s",0.3,252.9719,4150,4416,2754,2828,2986,2092,2510,5138,2674,3804,2098,1800,592,0,584,560,642,556,712,482,0,374,558,514,484,540,514,448,0,742
"104.94668 Da 18.33 s",0.31,105.95396,2262,1818,1326,1706,1276,640,1450,1396,1104,1558,1528,1620,2396,2832,2380,1982,2456,2734,2276,2366,2008,1016,954,926,1084,804,1158,1374,1068,910
"145.97254 Da 18.49 s",0.31,146.97982,2842,2006,2392,2258,2034,1864,1856,2026,2178,1680,2968,2632,4318,4838,3312,2816,3246,3374,3758,3630,3056,1876,1664,1352,1650,1844,1744,1576,1590,1716
"150.94210 Da 18.50 s",0.31,151.94938,4000,2946,2638,2350,2704,2000,2444,2466,2492,1990,2710,2320,1188,2012,1430,1436,1630,1312,1650,1460,1196,674,690,688,402,636,482,332,460,566
"37.96161 Da 18.54 s",0.31,38.96889,2124,1874,1926,1960,1910,0,2300,1754,2210,1708,2128,1938,0,1674,0,1662,1640,1878,1614,1608,1842,0,1598,0,0,0,1420,0,1608,0
"110.10978 Da 22.94 s",0.38,111.11706,5550,5032,6720,8922,7756,5394,5488,6264,5678,5206,6020,5734,3670,3692,4208,3676,4010,4364,4162,3466,4028,3334,3516,3300,3428,3678,3712,3080,3658,3398
"37.95665 Da 30.80 s",0.51,38.96392,2172,2084,2242,2390,2076,1744,2004,0,2128,1846,1828,1804,1580,0,1772,1656,0,0,1820,1678,0,1778,1624,1636,1798,1412,1652,1764,1716,1632
"85.49932 Da 32.68 s",0.54,86.50659,1380,1022,1000,1852,0,1328,3038,0,0,0,4360,0,1674,0,1744,1736,1854,0,1640,1828,1654,1142,1230,1054,1952,1030,1982,1016,1308,1676
"142.95155 Da 32.73 s",0.55,143.95883,3042,1714,2638,2540,2814,2152,2966,2564,2608,3256,2922,2746,3094,2980,2760,3098,2690,3090,3388,3056,3244,2918,2398,2226,2822,2880,2916,2548,2984,3020
"71.02111 Da 32.83 s",0.55,72.02839,0,0,988,0,1434,0,0,0,0,0,0,0,0,0,0,0,0,0,1206,2680,1006,2314,0,0,2924,0,1102,0,0,0
