"FEATURE_ID","RT","PEPMASS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","sample_blank_MeanIntensity","sample_full_mix_MeanIntensity","50MeOH_10570","50MeOH_10571","50MeOH_10572","FullMix_10574","FullMix_10577","FullMix_10580"
1,2.81,110.10920,,,,ION=[M+H]+,,,12820.89,7224.83,7710.40,4166.40,10104.69,7403.40,8752.06,12820.89,1558.26
2,2.89,139.06096,,,,ION=[M+H]+,,,15006.73,4165.97,8261.82,3674.63,5520.20,3303.08,15006.73,1182.62,8596.09
3,3.47,172.07164,,,,ION=[M+H]+,,,35997.61,618.90,15787.56,1059.17,150.01,647.51,8780.84,2584.23,35997.61
4,3.59,156.99560,,,,ION=[M+H]+,,,12896.38,9783.21,6816.49,11022.72,7634.81,10692.11,4627.74,12896.38,2925.34
5,3.67,56.06249,,,,ION=[M+H]+,,,19923.64,15243.46,5222.35,10547.08,19923.64,15259.67,2398.49,11353.59,1914.96
6,3.86,370.09412,,,,ION=[M+H]+,,,8253.84,7286.79,3139.17,6554.20,7052.34,8253.84,3690.82,3832.28,1894.40
7,5.08,298.10302,,,,ION=[M+H]+,,,54505.38,4130.78,23919.33,2275.31,8598.20,1518.82,14123.12,3129.50,54505.38
8,5.17,140.04366,,,,ION=[M+H+H]2+,,,4660.26,2552.49,2150.13,4660.26,2997.19,0.00,537.76,4493.21,1419.42
9,5.21,68.06253,,,,ION=[M+H]+,,,6609.67,2546.31,3140.03,0.00,1029.27,6609.67,1878.74,6413.99,1127.37
10,5.27,88.05247,13.928,"Butyric acid","C4H8O2",ION=[M+H]+,"C00246","107-92-6",5050.73,2838.57,1671.94,5050.73,622.94,2842.06,2393.88,1726.13,895.82
11,5.34,138.95595,,,,ION=[M+H]+,,,4572.53,1948.02,2705.19,1582.89,1818.59,2442.57,1269.34,2273.72,4572.53
12,5.54,111.86960,,,,ION=[M+H+H]2+,,,3054.45,1491.08,1250.54,1307.14,1501.59,1664.53,697.16,0.00,3054.45
