"Injection","File Text","Sample_Notes","MS method","LC method","Vial_Position","Injection volume","Sample_Code","Biological_Group"
"221012_DGM_Blank1_1_1_390",NA,NA,NA,NA,NA,2,"blank","Blanks"
"221012_DGM_Blank1_1_2_391",NA,NA,NA,NA,NA,2,"blank","Blanks"
"221012_DGM_Blank1_1_3_392",NA,NA,NA,NA,NA,2,"blank","Blanks"
"221012_DGM_MB1588_3_1_395",NA,NA,NA,NA,NA,2,"MB1588","botryllus"
"221012_DGM_MB1588_3_2_396",NA,NA,NA,NA,NA,2,"MB1588","botryllus"
"221012_DGM_MB1588_3_3_397",NA,NA,NA,NA,NA,2,"MB1588","botryllus"
"221012_DGM_MB1589_4_1_398",NA,NA,NA,NA,NA,2,"MB1589","botryllus"
"221012_DGM_MB1589_4_2_399",NA,NA,NA,NA,NA,2,"MB1589","botryllus"
"221012_DGM_MB1589_4_3_400",NA,NA,NA,NA,NA,2,"MB1589","botryllus"
"221012_DGM_MB1590_5_1_401",NA,NA,NA,NA,NA,2,"MB1590","botryllus"
"221012_DGM_MB1590_5_2_402",NA,NA,NA,NA,NA,2,"MB1590","botryllus"
"221012_DGM_MB1590_5_3_403",NA,NA,NA,NA,NA,2,"MB1590","botryllus"
"221012_DGM_Blank2_1_1_404",NA,NA,NA,NA,NA,2,"blank1","Blanks"
"221012_DGM_Blank2_1_2_405",NA,NA,NA,NA,NA,2,"blank1","Blanks"
"221012_DGM_Blank2_1_3_406",NA,NA,NA,NA,NA,2,"blank1","Blanks"
"221012_DGM_MB1591_6_1_407",NA,NA,NA,NA,NA,2,"MB1591","botryllus"
"221012_DGM_MB1591_6_2_408",NA,NA,NA,NA,NA,2,"MB1591","botryllus"
"221012_DGM_MB1591_6_3_409",NA,NA,NA,NA,NA,2,"MB1591","botryllus"
"221012_DGM_MB1592_7_1_410",NA,NA,NA,NA,NA,2,"MB1592","botryllus"
"221012_DGM_MB1592_7_2_411",NA,NA,NA,NA,NA,2,"MB1592","botryllus"
"221012_DGM_MB1592_7_3_412",NA,NA,NA,NA,NA,2,"MB1592","botryllus"
"221012_DGM_MB1593_8_1_413",NA,NA,NA,NA,NA,2,"MB1593","botryllus"
"221012_DGM_MB1593_8_2_414",NA,NA,NA,NA,NA,2,"MB1593","botryllus"
"221012_DGM_MB1593_8_3_415",NA,NA,NA,NA,NA,2,"MB1593","botryllus"
"221012_DGM_MB1594_9_1_416",NA,NA,NA,NA,NA,2,"MB1594","botryllus"
"221012_DGM_MB1594_9_2_417",NA,NA,NA,NA,NA,2,"MB1594","botryllus"
"221012_DGM_MB1594_9_3_418",NA,NA,NA,NA,NA,2,"MB1594","botryllus"
"221012_DGM_Blank3_1_1_419",NA,NA,NA,NA,NA,2,"blank2","Blanks"
"221012_DGM_Blank3_1_2_420",NA,NA,NA,NA,NA,2,"blank2","Blanks"
"221012_DGM_Blank3_1_3_421",NA,NA,NA,NA,NA,2,"blank2","Blanks"
"221012_DGM_MB1595_10_1_422",NA,NA,NA,NA,NA,2,"MB1595","botryllus"
"221012_DGM_MB1595_10_2_423",NA,NA,NA,NA,NA,2,"MB1595","botryllus"
"221012_DGM_MB1595_10_3_424",NA,NA,NA,NA,NA,2,"MB1595","botryllus"
"221012_DGM_MB1597_11_1_425",NA,NA,NA,NA,NA,2,"MB1597","seawater"
"221012_DGM_MB1597_11_2_426",NA,NA,NA,NA,NA,2,"MB1597","seawater"
"221012_DGM_MB1597_11_3_427",NA,NA,NA,NA,NA,2,"MB1597","seawater"
"221012_DGM_MB1598_12_1_428",NA,NA,NA,NA,NA,2,"MB1598","seawater"
"221012_DGM_MB1598_12_2_429",NA,NA,NA,NA,NA,2,"MB1598","seawater"
"221012_DGM_MB1598_12_3_430",NA,NA,NA,NA,NA,2,"MB1598","seawater"
"221012_DGM_MB1599_13_1_431",NA,NA,NA,NA,NA,2,"MB1599","seawater"
"221012_DGM_MB1599_13_2_432",NA,NA,NA,NA,NA,2,"MB1599","seawater"
"221012_DGM_MB1599_13_3_433",NA,NA,NA,NA,NA,2,"MB1599","seawater"
"221012_DGM_Blank4_1_1_434",NA,NA,NA,NA,NA,2,"blank3","Blanks"
"221012_DGM_Blank4_1_2_435",NA,NA,NA,NA,NA,2,"blank3","Blanks"
"221012_DGM_Blank4_1_3_436",NA,NA,NA,NA,NA,2,"blank3","Blanks"
