"FEATURE_ID","RT","PEPMASS","CCS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","newJC1_Blank-expanded-gradient_MeanIntensity","newJC1_Coculture-1-mg_mL-expanded-gradient_MeanIntensity","newJC1_JC1-0-25-mg_mL-expanded-gradient_MeanIntensity","newJC1_JC1-1-mg_mL-expanded-gradient_MeanIntensity","newJC1_Media-1-mg_mL-expanded-gradient_MeanIntensity","newJC1_Media-0-25-mg_mL-expanded-gradient_MeanIntensity","newJC1_Coculture-0-25-mg_mL-expanded-gradient_MeanIntensity","X121523_Blank_expanded_gradient_73_1_6075","X121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6076","X121523_UM1899B_JC1_0-25mgmL_expanded_gradient_82_1_6077","X121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6078","X121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6079","X121523_UM1900B_Media_0-25mgmL_expanded_gradient_83_1_6080","X121523_UM1901B_Coculture_0-25mgmL_expanded_gradient_84_1_6081","X121523_Blank_expanded_gradient_73_1_6082","X121523_UM1901B_Coculture_0-25mgmL_expanded_gradient_84_1_6083","X121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6084","X121523_UM1899B_JC1_0-25mgmL_expanded_gradient_82_1_6085","X121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6086","X121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6087","X121523_UM1900B_Media_0-25mgmL_expanded_gradient_83_1_6088","X121523_Blank_expanded_gradient_73_1_6089","X121523_UM1899B_JC1_0-25mgmL_expanded_gradient_82_1_6090","X121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6091","X121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6092","X121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6093","X121523_UM1901B_Coculture_0-25mgmL_expanded_gradient_84_1_6094","X121523_UM1900B_Media_0-25mgmL_expanded_gradient_83_1_6095"
1,45.28,560.18854,218.45032,59.435,"NPA012312","C28H32O12","ION=[M+H]+","","",1727.77,0,1584.8,0,0,0,0,589.79,0,1382.37,0,0,0,0,601.03,0,653.42,1727.77,0,0,0,0,0,0,1644.26,0,0,514.92,0
2,46.52,1402.53251,496.70984,87.423,"","C91H83KN2O6S2","ION=[M+H+H2]3+","","",1585.98,0,1513.76,0,0,0,0,0,0,1506.96,0,0,0,0,0,0,0,1448.35,0,0,0,0,0,0,1585.98,0,0,0,0
3,47.98,976.43645,320.64838,91.906,"","C39H44N32O","ION=[M+H+H]2+","","",1692.53,0,0,0,1616.33,0,0,0,0,0,0,1692.53,0,0,0,0,0,0,0,1501.97,0,0,0,0,0,1654.49,0,0,0
4,47.99,889.40569,313.7945,85.99,"","C39H47N21O5","ION=[M+H+H]2+","","",1722.86,0,0,0,1517.15,0,0,0,0,0,0,1523.31,0,0,0,0,0,0,0,1722.86,0,0,0,0,0,1305.29,0,0,0
5,48.02,711.23617,233.79541,NA,"","C19H58N3O12PS5","ION=[M+H]+","","",1508.09,0,502.7,0,0,0,0,889.34,0,0,0,0,0,0,931.17,0,829.71,0,0,0,0,0,0,0,1508.09,0,0,907.15,0
6,48.32,642.33111,229.67986,103.359,"NPA005859","C32H50O13","ION=[M+H]+","","",1966.66,0,1677.73,0,0,0,0,0,0,1195.26,0,0,0,0,0,0,0,1966.66,0,0,0,0,0,0,1871.26,0,0,0,0
7,48.36,949.49459,321.53635,3.331,"","C52H67N7O10","ION=[M+H+H]2+","","",2666.05,0,0,453.13,2315.61,1556.63,0,0,0,0,671.34,2202.93,1536.22,0,0,0,0,0,0,2666.05,1566.76,0,0,688.04,0,2077.86,1566.92,0,0
8,48.42,569.24239,222.96123,28.741,"","C20H27N17O4","ION=[M+H]+","","",7836.94,0,7056.21,626.01,1836.34,1810.94,448.89,2664.63,0,6587.85,671.62,1926.76,1801.04,454.71,2904.83,0,2723.52,7836.94,506.16,1745.43,1966.58,419.79,0,700.24,6743.84,1836.85,1665.19,2365.53,472.17
9,48.49,501.25341,151.98962,32.208,"PC(8:2(2E,4E)/8:2(2E,4E))","C24H40NO8P","ION=[M+H]+","","",1929.23,0,1854.81,0,0,0,0,738.9,0,1742.03,0,0,0,0,807.25,0,727.9,1929.23,0,0,0,0,0,0,1893.15,0,0,681.55,0
10,48.6,516.2717,218.25366,40.157,"NPA029051","C29H40O8","ION=[M+H]+","","",1505.73,0,0,0,1450.37,0,0,0,0,0,0,1377.21,0,0,0,0,0,0,0,1468.19,0,0,0,0,0,1505.73,0,0,0
