Compound,mz,rt,250120_JMK_50MeOH_Blank_C18_pos_P2B1_1_12871,250120_JMK_50MeOH_Blank_C18_pos_P2B1_1_12872,250120_JMK_50MeOH_Blank_C18_pos_P2B1_1_12873,250120_JMK_UM2142_squid_clutch_C1_10Xdil_C18_pos_P2E1_1_12912,250120_JMK_UM2142_squid_clutch_C1_10Xdil_C18_pos_P2E1_1_12938,250120_JMK_UM2142_squid_clutch_C1_10Xdil_C18_pos_P2E1_1_12966,250120_JMK_UM2142_squid_clutch_C1_1mgml_C18_pos_P2C7_1_12909,250120_JMK_UM2142_squid_clutch_C1_1mgml_C18_pos_P2C7_1_12935,250120_JMK_UM2142_squid_clutch_C1_1mgml_C18_pos_P2C7_1_12964,250120_JMK_UM2143_squid_clutch_C5_10Xdil_C18_pos_P2E2_1_12913,250120_JMK_UM2143_squid_clutch_C5_10Xdil_C18_pos_P2E2_1_12931,250120_JMK_UM2143_squid_clutch_C5_10Xdil_C18_pos_P2E2_1_12960,250120_JMK_UM2143_squid_clutch_C5_1mgml_C18_pos_P2C8_1_12910,250120_JMK_UM2143_squid_clutch_C5_1mgml_C18_pos_P2C8_1_12933,250120_JMK_UM2143_squid_clutch_C5_1mgml_C18_pos_P2C8_1_12957,250120_JMK_UM2144_squid_clutch_C9_10Xdil_C18_pos_P2E3_1_12914,250120_JMK_UM2144_squid_clutch_C9_10Xdil_C18_pos_P2E3_1_12940,250120_JMK_UM2144_squid_clutch_C9_10Xdil_C18_pos_P2E3_1_12963,250120_JMK_UM2144_squid_clutch_C9_1mgml_C18_pos_P2C9_1_12911,250120_JMK_UM2144_squid_clutch_C9_1mgml_C18_pos_P2C9_1_12936,250120_JMK_UM2144_squid_clutch_C9_1mgml_C18_pos_P2C9_1_12958,kmd
250.96326 Da 18.99 s,251.97054,0.32,7953.408691,8016.590332,7485.238281,7593.023438,6310.111328,8052.438965,7470.577148,7083.091797,6645.378418,7330.229492,6818.524414,7495.226563,8134.930176,7543.231445,7898.128906,8129.253418,6122.940918,7415.592773,7266.182129,7938.387695,6193.635254,0.97054
249.96179 Da 19.10 s,250.96907,0.32,8172.82959,8708.28418,8200.970703,8286.692383,7597.182617,8610.068359,8213.322266,7330.220703,7267.221191,0,0,8192.880859,9356.185547,7967.712891,8492.317383,8665.633789,7181.157227,0,7992.505859,8454.589844,7307.264648,0.969069999999988
270.84950 Da 19.17 s,271.85677,0.32,3528.67627,3555.646484,3323.365723,2946.489258,3183.711182,3781.253906,3280.239746,3240.341797,3138.835693,3356.08252,3302.581055,3515.95752,3691.631836,3048.348389,3867.842773,3757.001465,3286.272217,3203.474609,3301.178223,3477.052979,2880.124268,0.856769999999983
306.88311 Da 31.02 s,307.89038,0.52,0,0,0,761.8345337,1060.889282,0,2539.664551,1115.074707,667.2661743,957.4697266,903.0192261,815.9627075,1562.975342,0,0,937.6967773,0,684.3816528,1006.58136,0,1038.654907,0.890379999999993
415.88498 Da 32.36 s,416.89225,0.54,0,0,0,455.0726929,552.7819824,579.8569336,2661.55249,2113.675049,3029.584473,578.4237061,0,0,3346.080566,0,2946.296875,0,0,486.7178955,2606.23584,3973.631836,3712.420166,0.89224999999999
1163.75874 Da 32.36 s,582.88664,0.54,0,0,0,0,0,0,0,3997.069336,0,0,0,0,3069.322266,2383.904297,2429.2771,0,0,0,3236.966309,3095.533203,0,0.886640000000057
310.87921 Da 32.61 s,311.88649,0.54,0,400.1636353,0,1055.256958,1216.384766,1233.29834,667.6503906,773.7393188,764.2096558,1385.663086,1393.022827,1393.809448,802.1005859,582.9980469,804.8943481,1593.269287,0,1270.923218,800.2253418,1209.809692,583.4399414,0.886489999999981
451.89042 Da 32.62 s,452.89769,0.54,0,0,0,0,0,0,3269.218506,4155.168945,3212.324951,0,0,0,3393.128418,3102.263672,0,0,0,0,3857.200195,3506.24707,3899.056885,0.897690000000011
155.95707 Da 32.66 s,156.96435,0.54,0,0,0,0,954.718689,0,2852.920166,2551.318604,2867.990234,960.5310059,0,0,2571.728516,2186.555176,2433.552246,0,0,1097.670044,4156.944336,2729.874756,2766.978516,0.964349999999996
385.86516 Da 32.69 s,386.87244,0.54,0,0,0,0,0,0,2673.208496,2538.649414,3064.003662,0,0,0,4294.365723,2821.96875,3101.039063,0,0,0,2519.472656,2259.497559,3742.733643,0.872439999999983
524.84076 Da 32.69 s,525.84803,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615.0549316,5237.140137,910.3273315,0.848029999999994
220.89755 Da 32.70 s,221.90483,0.54,0,0,0,2503.893555,2183.321045,1820.008667,1722.506226,1802.863647,1428.995361,1952.885132,2420.092773,1813.538208,1959.379517,2266.555176,1768.610352,2448.868896,2186.580566,1815.672852,1841.743896,1640.038452,1387.590454,0.904830000000004
638.87086 Da 32.71 s,639.87814,0.55,0,0,0,0,0,0,7307.185059,8460.723633,7959.692871,0,0,0,7060.900879,8968.120117,7475.264648,0,0,0,9086.769531,8377.527344,8840.219727,0.87814000000003
528.83743 Da 32.71 s,529.84471,0.55,0,0,0,0,0,570.9998779,4101.652832,6575.430664,4112.107422,400.0397949,0,0,5772.540039,5313.203613,5719.888184,0,521.4931641,367.0584717,5310.103027,5545.328125,4667.262207,0.844709999999964
423.94384 Da 32.76 s,424.95112,0.55,0,0,0,0,0,0,5327.752441,5721.226074,4974.681641,0,0,0,6352.414063,6289.476563,0,0,0,0,5396.379883,6260.881348,5844.745605,0.951120000000003
498.89523 Da 32.76 s,499.90251,0.55,0,0,0,764.7825928,0,950.0332031,8745.236328,8917.982422,7294.265625,0,0,832.4372559,8113.075684,7422.783691,7937.305176,0,788.1698608,1066.696167,8321.730469,8831.423828,9337.525391,0.902510000000007
413.88836 Da 32.77 s,414.89564,0.55,0,0,0,574.5654297,0,219.2711334,2661.55249,4327.660645,0,0,403.0532532,0,3346.080566,3869.57959,3602.424072,498.7065735,663.3591309,458.2285767,3600.731445,3973.631836,3830.749756,0.895640000000014
415.85839 Da 32.78 s,416.86566,0.55,0,0,0,0,0,0,3124.000244,3650.319092,3191.582031,0,0,0,3217.816162,0,2910.189697,0,491.3267517,0,3439.115967,3514.893799,2792.2854,0.865659999999991
414.85729 Da 32.78 s,415.86456,0.55,0,0,0,1386.209106,1035.326904,1279.740234,8950.865234,8277.665039,7255.053223,1039.690796,924.4901733,828.027832,8838.47168,9930.051758,9326.017578,1278.819214,1148.38208,1253.354126,8280.875977,7500.977539,8135.361816,0.864559999999983
231.90839 Da 32.80 s,232.91567,0.55,0,0,288.6766968,4408.115234,4458.422363,3964.213135,3604.40625,3404.868896,3777.891602,3499.213379,4282.848633,3572.424316,4491.918457,0,0,4272.288574,4703.78418,4383.043945,4245.786621,4423.621094,4852.95752,0.915670000000006
499.89327 Da 32.80 s,500.90055,0.55,0,0,0,0,0,462.9346619,6073.944824,4797.262695,5831.613281,316.4736328,382.3051758,0,4923.870605,5721.237305,5089.228516,0,310.3247681,0,7838.533691,5880.476563,6449.775879,0.90055000000001
232.90436 Da 32.81 s,233.91164,0.55,0,0,0,3770.672607,3556.128174,3894.185791,2646.999268,2998.062256,2666.293701,3150.470703,3491.970459,3489.387939,3544.217285,2925.358398,3336.258545,3954.036621,3879.690918,3576.712891,2920.129395,3366.481201,2889.91748,0.911640000000006
311.87825 Da 32.81 s,312.88553,0.55,0,0,0,0,0,0,396.1057434,0,0,226.4165802,0,0,433.6181641,0,0,237.9336548,369.2727356,210.0890961,546.7593994,0,0,0.885530000000017
260.89850 Da 32.81 s,261.90578,0.55,0,0,0,2251.121338,1646.697144,2306.994873,2807.704102,2577.775146,1387.891968,1942.839478,1493.827393,2114.605469,2438.154053,2136.58667,1574.355347,2146.33667,2254.406738,2091.665283,1965.952759,1941.498901,1894.358765,0.905779999999993
541.86910 Da 32.82 s,542.87637,0.55,0,0,0,0,0,0,3981.650635,4979.608887,4235.841309,0,0,0,3540.977051,3889.400146,2579.663086,0,0,0,3670.842773,3975.664307,3913.13916,0.876369999999952
640.86886 Da 32.84 s,641.87614,0.55,0,0,0,0,0,0,7205.074219,7946.26416,6087.168945,0,0,0,5705.474121,7190.133301,6242.850098,0,0,0,7750.852539,6951.300781,7684.781738,0.876139999999964
424.94156 Da 32.84 s,425.94884,0.55,0,0,0,0,0,0,6672.111328,7189.376953,6038.820801,0,0,0,5263.599609,6390.345215,5978.695313,0,0,0,6424.914063,6453.000977,5946.784668,0.948840000000018
422.94310 Da 32.84 s,423.95038,0.55,0,0,0,0,0,0,6895.256348,9150.061523,7272.952148,0,0,0,7145.37207,8474.367188,6949.749023,0,0,0,10591.48047,10172.29297,5946.784668,0.950379999999996
307.88160 Da 32.88 s,308.88888,0.55,0,0,0,0,0,0,905.819519,0,0,0,0,320.4244995,0,0,0,0,0,374.1051941,0,0,673.3270874,0.888879999999972
