"rowname" "name" "value"
"1" "F3D9" "F3D9" 0
"2" "F3D9" "F3D8" 0.265
"3" "F3D9" "F3D6" 0.2875
"4" "F3D9" "F3D2" 0.34
"5" "F3D9" "F3D150" 0.41
"6" "F3D9" "F3D147" 0.4825
"7" "F3D9" "F3D149" 0.395
"8" "F3D9" "F3D3" 0.295
"9" "F3D9" "F3D142" 0.3425
"10" "F3D9" "F3D148" 0.395
"11" "F3D9" "F3D146" 0.4075
"12" "F3D9" "F3D145" 0.4425
"13" "F3D9" "F3D5" 0.275
"14" "F3D9" "F3D141" 0.3475
"15" "F3D9" "F3D143" 0.42
"16" "F3D9" "F3D7" 0.32
"17" "F3D9" "F3D0" 0.385
"18" "F3D9" "F3D144" 0.4375
"19" "F3D9" "F3D1" 0.35
"20" "F3D8" "F3D9" 0.265
"21" "F3D8" "F3D8" 0
"22" "F3D8" "F3D6" 0.31
"23" "F3D8" "F3D2" 0.385
"24" "F3D8" "F3D150" 0.4675
"25" "F3D8" "F3D147" 0.54
"26" "F3D8" "F3D149" 0.4375
"27" "F3D8" "F3D3" 0.36
"28" "F3D8" "F3D142" 0.36
"29" "F3D8" "F3D148" 0.4475
"30" "F3D8" "F3D146" 0.4725
"31" "F3D8" "F3D145" 0.495
"32" "F3D8" "F3D5" 0.32
"33" "F3D8" "F3D141" 0.41
"34" "F3D8" "F3D143" 0.445
"35" "F3D8" "F3D7" 0.295
"36" "F3D8" "F3D0" 0.43
"37" "F3D8" "F3D144" 0.5075
"38" "F3D8" "F3D1" 0.405
"39" "F3D6" "F3D9" 0.2875
"40" "F3D6" "F3D8" 0.31
"41" "F3D6" "F3D6" 0
"42" "F3D6" "F3D2" 0.315
"43" "F3D6" "F3D150" 0.39
"44" "F3D6" "F3D147" 0.4375
"45" "F3D6" "F3D149" 0.3725
"46" "F3D6" "F3D3" 0.255
"47" "F3D6" "F3D142" 0.2825
"48" "F3D6" "F3D148" 0.4225
"49" "F3D6" "F3D146" 0.4175
"50" "F3D6" "F3D145" 0.4025
"51" "F3D6" "F3D5" 0.3025
"52" "F3D6" "F3D141" 0.3875
"53" "F3D6" "F3D143" 0.4325
"54" "F3D6" "F3D7" 0.19
"55" "F3D6" "F3D0" 0.4125
"56" "F3D6" "F3D144" 0.4375
"57" "F3D6" "F3D1" 0.4325
"58" "F3D2" "F3D9" 0.34
"59" "F3D2" "F3D8" 0.385
"60" "F3D2" "F3D6" 0.315
"61" "F3D2" "F3D2" 0
"62" "F3D2" "F3D150" 0.4475
"63" "F3D2" "F3D147" 0.4825
"64" "F3D2" "F3D149" 0.43
"65" "F3D2" "F3D3" 0.25
"66" "F3D2" "F3D142" 0.45
"67" "F3D2" "F3D148" 0.4725
"68" "F3D2" "F3D146" 0.4775
"69" "F3D2" "F3D145" 0.48
"70" "F3D2" "F3D5" 0.305
"71" "F3D2" "F3D141" 0.4325
"72" "F3D2" "F3D143" 0.51
"73" "F3D2" "F3D7" 0.365
"74" "F3D2" "F3D0" 0.44
"75" "F3D2" "F3D144" 0.48
"76" "F3D2" "F3D1" 0.32
"77" "F3D150" "F3D9" 0.41
"78" "F3D150" "F3D8" 0.4675
"79" "F3D150" "F3D6" 0.39
"80" "F3D150" "F3D2" 0.4475
"81" "F3D150" "F3D150" 0
"82" "F3D150" "F3D147" 0.355
"83" "F3D150" "F3D149" 0.2675
"84" "F3D150" "F3D3" 0.4575
"85" "F3D150" "F3D142" 0.345
"86" "F3D150" "F3D148" 0.305
"87" "F3D150" "F3D146" 0.3175
"88" "F3D150" "F3D145" 0.3525
"89" "F3D150" "F3D5" 0.39
"90" "F3D150" "F3D141" 0.25
"91" "F3D150" "F3D143" 0.3175
"92" "F3D150" "F3D7" 0.4225
"93" "F3D150" "F3D0" 0.325
"94" "F3D150" "F3D144" 0.365
"95" "F3D150" "F3D1" 0.5325
"96" "F3D147" "F3D9" 0.4825
"97" "F3D147" "F3D8" 0.54
